batsman,bowler,wicket
JH Kallis,A Mishra,2
MJ Lumb,JA Morkel,2
AC Gilchrist,Harbhajan Singh,2
RG Sharma,Z Khan,2
KD Karthik,I Sharma,2
Mandeep Singh,A Mishra,2
CH Gayle,R Bhatia,2
KS Williamson,CH Morris,2
Yuvraj Singh,CH Morris,2
SV Samson,Yuvraj Singh,2
SV Samson,Mohammed Siraj,2
DPMD Jayawardene,Harbhajan Singh,2
Yuvraj Singh,DJ Bravo,2
IK Pathan,SL Malinga,2
SE Marsh,SL Malinga,2
AT Rayudu,SJ Srivastava,2
V Kohli,SB Jakati,2
JH Kallis,SB Jakati,2
MS Dhoni,DW Steyn,2
G Gambhir,S Narwal,2
KD Karthik,SW Tait,2
SC Ganguly,PP Ojha,2
RG Sharma,M Kartik,2
Yuvraj Singh,JH Kallis,2
SR Tendulkar,R Sharma,2
DA Warner,JH Kallis,2
RV Uthappa,PJ Sangwan,2
LRPL Taylor,R Bhatia,2
R Dravid,A Mishra,2
RP Singh,SK Trivedi,2
SE Marsh,MJ McClenaghan,2
JC Buttler,MM Sharma,2
ML Hayden,KA Pollard,2
SS Tiwary,SB Jakati,2
KA Pollard,R Ashwin,2
KC Sangakkara,SK Trivedi,2
DA Warner,AB Dinda,2
KD Karthik,AB Dinda,2
MK Pandey,RJ Harris,2
V Kohli,RJ Harris,2
MD Mishra,P Kumar,2
SS Tiwary,PP Chawla,2
Yuvraj Singh,KA Pollard,2
KC Sangakkara,SL Malinga,2
CH Gayle,JH Kallis,2
CA Pujara,JH Kallis,2
V Sehwag,IK Pathan,2
IK Pathan,A Mishra,2
ST Jayasuriya,SR Watson,2
NV Ojha,Z Khan,2
YK Pathan,KA Pollard,2
TL Suman,DW Steyn,2
RV Uthappa,Harmeet Singh,2
V Sehwag,AG Murtaza,2
YK Pathan,DW Steyn,2
V Kohli,SK Trivedi,2
AT Rayudu,JH Kallis,2
NV Ojha,JD Unadkat,2
RG Sharma,UT Yadav,2
JA Morkel,PP Ojha,2
SK Raina,SL Malinga,2
SR Tendulkar,SB Jakati,2
KA Pollard,JA Morkel,2
Z Khan,DE Bollinger,2
M Vijay,Iqbal Abdulla,2
JH Kallis,R Ashwin,2
BJ Hodge,Z Khan,2
DA Warner,SL Malinga,2
AT Rayudu,IK Pathan,2
MS Bisla,A Mishra,2
G Gambhir,A Mishra,2
KC Sangakkara,R Bhatia,2
AM Rahane,Bipul Sharma,2
MA Agarwal,SL Malinga,2
AB de Villiers,KA Pollard,2
M Vijay,PP Chawla,2
JP Duminy,Z Khan,2
Z Khan,DW Steyn,2
AL Menaria,YK Pathan,2
GJ Maxwell,RA Jadeja,2
