bowler,batsman,runs
D Wiese,Q de Kock,47
A Nehra,KD Karthik,46
P Kumar,HH Gibbs,46
PP Chawla,SC Ganguly,46
P Kumar,MS Dhoni,46
DJ Bravo,BJ Hodge,46
I Sharma,DA Warner,46
L Balaji,DPMD Jayawardene,46
Harbhajan Singh,LRPL Taylor,46
M Kartik,MS Dhoni,46
AB Agarkar,MS Dhoni,46
R Ashwin,AC Gilchrist,46
A Mishra,SS Tiwary,46
UT Yadav,JH Kallis,46
KA Pollard,SE Marsh,46
PP Chawla,S Dhawan,46
JH Kallis,CH Gayle,46
A Nehra,KA Pollard,46
R Vinay Kumar,R Dravid,46
R Sharma,V Kohli,46
R Bhatia,S Dhawan,46
SK Trivedi,MEK Hussey,46
SK Trivedi,S Dhawan,46
KA Pollard,DA Miller,46
DJ Bravo,Harbhajan Singh,46
A Ashish Reddy,AB de Villiers,46
DJ Bravo,STR Binny,46
MM Sharma,AT Rayudu,46
AR Patel,LMP Simmons,46
R Tewatia,SE Marsh,46
A Nehra,CH Gayle,45
A Kumble,SR Watson,45
YK Pathan,SC Ganguly,45
YS Chahal,KA Pollard,45
SK Trivedi,RV Uthappa,45
SK Trivedi,DR Smith,45
A Mishra,LRPL Taylor,45
YK Pathan,DA Warner,45
DR Smith,SK Raina,45
Harbhajan Singh,Yuvraj Singh,45
PP Chawla,DJ Bravo,45
DP Nannes,AC Gilchrist,45
PP Ojha,KD Karthik,45
SK Trivedi,RG Sharma,45
R Bhatia,SK Raina,45
DJ Bravo,JH Kallis,45
M Morkel,RV Uthappa,45
DL Vettori,JH Kallis,45
DW Steyn,BJ Hodge,45
KA Pollard,JH Kallis,45
A Mishra,CH Gayle,45
RJ Harris,SR Watson,45
Harbhajan Singh,KP Pietersen,45
SK Raina,SE Marsh,45
Z Khan,KA Pollard,45
CH Morris,RV Uthappa,45
R Ashwin,DA Miller,45
P Negi,V Kohli,45
CH Morris,SR Watson,45
R Vinay Kumar,SV Samson,45
B Kumar,DR Smith,45
HH Pandya,AM Rahane,44
VR Aaron,G Gambhir,44
Sandeep Sharma,MK Pandey,44
MM Patel,SC Ganguly,44
PP Ojha,DPMD Jayawardene,44
SK Warne,SR Tendulkar,44
P Kumar,AM Rahane,44
RA Jadeja,SPD Smith,44
