bowler,batsman,runs 
JO Holder,AJ Finch,2
CR Brathwaite,NV Ojha,2
BB Sran,RR Pant,2
BB Sran,JP Duminy,2
KJ Abbott,UT Khawaja,2
AR Patel,UT Khawaja,2
KJ Abbott,SS Tiwary,2
R Dhawan,NLTC Perera,2
DS Kulkarni,MJ Guptill,2
Mohammad Hafeez,AS Yadav,2
AB Agarkar,SB Bangar,2
WPUJC Vaas,WP Saha,2
KS Williamson,G Gambhir,2
DJ Hooda,MK Pandey,2
C Munro,NV Ojha,2
AS Rajpoot,BB Sran,2
STR Binny,SV Samson,2
S Aravind,P Negi,2
SR Watson,J Yadav,2
CJ Jordan,ER Dwivedi,2
RA Jadeja,Iqbal Abdulla,2
P Kumar,Iqbal Abdulla,2
M Morkel,DJ Hooda,2
Mustafizur Rahman,C Munro,2
MC Henriques,C Munro,2
Bipul Sharma,AJ Finch,2
Iqbal Abdulla,MC Henriques,2
S Aravind,DJ Hooda,2
Mustafizur Rahman,CH Gayle,2
Mustafizur Rahman,CJ Jordan,2
Pankaj Singh,IK Pathan,2
Mohammad Asif,A Symonds,2
VS Yeligati,ML Hayden,2
MA Khote,S Badrinath,2
JDP Oram,L Ronchi,2
M Muralitharan,SM Pollock,2
D Salunkhe,RG Sharma,2
Shahid Afridi,SR Watson,2
A Symonds,GC Smith,2
Shahid Afridi,M Kaif,2
WPUJC Vaas,M Kaif,2
DS Kulkarni,RR Sarwan,2
MA Khote,RR Sarwan,2
PP Chawla,SM Pollock,2
IK Pathan,MA Khote,2
IK Pathan,SM Pollock,2
B Lee,SM Pollock,2
B Lee,MA Khote,2
MM Patel,MV Boucher,2
YK Pathan,SB Joshi,2
VR Aaron,STR Binny,2
MP Stoinis,STR Binny,2
P Negi,HM Amla,2
Joginder Sharma,AB Agarkar,2
MS Gony,AB Agarkar,2
MS Gony,LR Shukla,2
Mohammad Hafeez,PA Patel,2
LR Shukla,ML Hayden,2
DNT Zoysa,RV Uthappa,2
Shahid Afridi,SM Pollock,2
DNT Zoysa,SM Pollock,2
AM Nayar,VVS Laxman,2
IK Pathan,Shoaib Malik,2
PP Chawla,Shoaib Malik,2
S Sreesanth,MK Tiwary,2
IK Pathan,VY Mahesh,2
R Bhatia,SM Katich,2
GD McGrath,TM Srivastava,2
MS Gony,MV Boucher,2
JA Morkel,Z Khan,2
DJ Bravo,RT Ponting,2
DS Kulkarni,RT Ponting,2
VRV Singh,Shahid Afridi,2
Gagandeep Singh,SB Bangar,2
Shahid Afridi,RR Sarwan,2
Umar Gul,SA Asnodkar,2
Umar Gul,SK Warne,2
GD McGrath,PA Patel,2
M Ntini,S Dhawan,2
WPUJC Vaas,R Dravid,2
LPC Silva,CL White,2
Imran Tahir,SW Billings,2
PJ Cummins,AM Rahane,2
PJ Cummins,R Bhatia,2
Mohammad Hafeez,DPMD Jayawardene,2
Mohammad Asif,SS Tiwary,2
GD McGrath,SS Tiwary,2
ST Jayasuriya,Shoaib Malik,2
A Nehra,Shoaib Malik,2
RR Raje,Shoaib Malik,2
A Nehra,VY Mahesh,2
SK Trivedi,JA Morkel,2
S Vidyut,GC Smith,2
IK Pathan,Misbah-ul-Haq,2
VRV Singh,A Kumble,2
PP Ojha,Joginder Sharma,2
Shahid Afridi,JA Morkel,2
SM Pollock,GC Smith,2
JA Morkel,Shoaib Malik,2
VY Mahesh,MS Gony,2
R Vinay Kumar,T Taibu,2
A Kumble,T Taibu,2
AB Dinda,S Chanderpaul,2
LR Shukla,MV Boucher,2
I Sharma,CL White,2
SK Warne,SB Styris,2
MM Patel,SB Styris,2
SK Warne,SB Bangar,2
CRD Fernando,SP Goswami,2
DR Smith,P Kumar,2
Rashid Khan,PA Patel,2
BCJ Cutting,N Rana,2
JA Morkel,RR Sarwan,2
CK Kapugedera,SE Marsh,2
SC Ganguly,SB Styris,2
SC Ganguly,Y Venugopal Rao,2
SC Ganguly,WPUJC Vaas,2
S Sreesanth,MV Boucher,2
GD McGrath,A Chopra,2
VY Mahesh,T Taibu,2
A Mishra,T Taibu,2
MF Maharoof,LR Shukla,2
GD McGrath,WP Saha,2
AB Dinda,MF Maharoof,2
I Sharma,VY Mahesh,2
S Sreesanth,Younis Khan,2
MF Maharoof,HH Gibbs,2
DJ Thornely,AB Agarkar,2
DJ Thornely,SC Ganguly,2
AB Agarkar,ST Jayasuriya,2
GD McGrath,SE Marsh,2
TS Mills,BCJ Cutting,1
DJ Hooda,TM Head,1
Bipul Sharma,Sachin Baby,1
Bipul Sharma,STR Binny,1
BCJ Cutting,YS Chahal,1
BA Stokes,PA Patel,1
DL Chahar,RG Sharma,1
BA Stokes,KH Pandya,1
MJ McClenaghan,MA Agarwal,1
PP Chawla,HM Amla,1
UT Yadav,MM Sharma,1
TA Boult,VR Aaron,1
I Sharma,SP Narine,1
Abdur Razzak,SA Asnodkar,1
Sohail Tanvir,V Kohli,1
Sohail Tanvir,CL White,1
Sohail Tanvir,JH Kallis,1
SR Watson,R Dravid,1
YK Pathan,Z Khan,1
Sohail Tanvir,A Kumble,1
Y Venugopal Rao,SR Tendulkar,1
RP Singh,DJ Thornely,1
Shahid Afridi,SR Tendulkar,1
Y Venugopal Rao,RV Uthappa,1
AM Nayar,LPC Silva,1
DJ Bravo,H Das,1
CRD Fernando,H Das,1
A Nehra,DNT Zoysa,1
MS Gony,Mohammad Hafeez,1
GD McGrath,B Chipli,1
PJ Sangwan,B Chipli,1
TM Dilshan,R Dravid,1
PJ Sangwan,B Akhil,1
MF Maharoof,P Kumar,1
GD McGrath,Misbah-ul-Haq,1
A Kumble,MF Maharoof,1
Sohail Tanvir,Salman Butt,1
SR Watson,Umar Gul,1
AB Dinda,Sohail Tanvir,1
I Sharma,Sohail Tanvir,1
Umar Gul,SR Watson,1
CRD Fernando,DPMD Jayawardene,1
S Sreesanth,SR Tendulkar,1
JR Hopes,DR Smith,1
Yuvraj Singh,PR Shah,1
VRV Singh,A Nehra,1
L Balaji,Misbah-ul-Haq,1
M Muralitharan,MV Boucher,1
JA Morkel,B Akhil,1
Gagandeep Singh,HH Gibbs,1
VRV Singh,Y Venugopal Rao,1
VRV Singh,SB Styris,1
SB Styris,LA Pomersbach,1
VY Mahesh,SR Tendulkar,1
B Geeves,SM Pollock,1
MF Maharoof,SD Chitnis,1
M Ntini,YK Pathan,1
M Ntini,T Kohli,1
MJ McClenaghan,STR Binny,1
S Badree,JC Buttler,1
DP Vijaykumar,B Chipli,1
PP Ojha,Misbah-ul-Haq,1
JH Kallis,Shahid Afridi,1
Z Khan,AS Yadav,1
Umar Gul,JR Hopes,1
BAW Mendis,DPMD Jayawardene,1
Umar Gul,PP Chawla,1
Umar Gul,TM Srivastava,1
RR Powar,DJ Hussey,1
PP Chawla,A Chopra,1
JR Hopes,A Chopra,1
PP Chawla,Umar Gul,1
Sohail Tanvir,DR Smith,1
Sohail Tanvir,MK Pandey,1
SR Watson,RR Raje,1
CRD Fernando,SA Asnodkar,1
CRD Fernando,SR Watson,1
CRD Fernando,M Kaif,1
ST Jayasuriya,RA Jadeja,1
L Balaji,Shahid Afridi,1
L Balaji,PP Ojha,1
PM Sarvesh Kumar,PA Patel,1
DP Vijaykumar,JA Morkel,1
VY Mahesh,M Kaif,1
Mohammad Asif,M Kaif,1
GD McGrath,M Rawat,1
Mohammad Asif,M Rawat,1
Mohammad Asif,SK Trivedi,1
MM Patel,VY Mahesh,1
SK Warne,Mohammad Asif,1
M Ntini,Yuvraj Singh,1
M Ntini,DPMD Jayawardene,1
M Ntini,Niraj Patel,1
MS Gony,Niraj Patel,1
MS Gony,YK Pathan,1
JA Morkel,Sohail Tanvir,1
T Thushara,S Dhawan,1
Joginder Sharma,DJ Bravo,1
Z Khan,A Flintoff,1
RR Raje,A Flintoff,1
DJ Bravo,JDP Oram,1
SL Malinga,T Thushara,1
Kamran Khan,RV Uthappa,1
T Henderson,V Kohli,1
SK Warne,B Akhil,1
T Henderson,P Kumar,1
DW Steyn,GC Smith,1
P Kumar,Niraj Patel,1
R Vinay Kumar,Niraj Patel,1
JD Ryder,T Henderson,1
A Kumble,M Rawat,1
AM Salvi,RS Bopara,1
VS Malik,G Gambhir,1
SB Jakati,RA Tripathi,1
AJ Tye,SPD Smith,1
AJ Tye,MS Dhoni,1
AJ Tye,LH Ferguson,1
BA Stokes,DR Smith,1
BA Stokes,AJ Finch,1
FH Edwards,BB McCullum,1
FH Edwards,BJ Hodge,1
SB Styris,MC Henriques,1
SB Styris,AB Agarkar,1
SB Styris,M Kartik,1
MS Gony,P Kumar,1
A Flintoff,V Kohli,1
A Flintoff,A Kumble,1
MC Henriques,RS Bopara,1
SC Ganguly,RS Bopara,1
MC Henriques,KC Sangakkara,1
M Kartik,T Kohli,1
MC Henriques,PP Chawla,1
DW Steyn,DB Ravi Teja,1
FH Edwards,R Dravid,1
Harmeet Singh,R Bishnoi,1
SB Styris,KV Sharma,1
A Flintoff,MK Tiwary,1
AM Salvi,SK Raina,1
DP Nannes,JA Morkel,1
Anureet Singh,GC Smith,1
BAW Mendis,GC Smith,1
MM Patel,SB Bangar,1
Kamran Khan,SB Bangar,1
Kamran Khan,AB Agarkar,1
Kamran Khan,I Sharma,1
Kamran Khan,BB McCullum,1
YA Abdulla,JD Ryder,1
YA Abdulla,R Dravid,1
IK Pathan,P Kumar,1
IK Pathan,Pankaj Singh,1
SL Malinga,RP Singh,1
Harbhajan Singh,FH Edwards,1
FH Edwards,ST Jayasuriya,1
DP Nannes,LRPL Taylor,1
A Nehra,Pankaj Singh,1
B Akhil,M Manhas,1
Kamran Khan,Yuvraj Singh,1
MM Patel,WA Mota,1
IK Pathan,RJ Quiney,1
YA Abdulla,RA Jadeja,1
B Kumar,CR Woakes,1
CR Woakes,DJ Hooda,1
PP Ojha,JDP Oram,1
FH Edwards,S Badrinath,1
M Muralitharan,AA Bilakhia,1
JDP Oram,AA Bilakhia,1
SC Ganguly,SR Tendulkar,1
SL Malinga,AB Dinda,1
Kamran Khan,V Sehwag,1
Kamran Khan,PJ Sangwan,1
A Nehra,RJ Quiney,1
A Nehra,PC Valthaty,1
BJ Hodge,RE van der Merwe,1
I Sharma,RE van der Merwe,1
DJ Bravo,RS Bopara,1
JP Duminy,DPMD Jayawardene,1
SR Tendulkar,KC Sangakkara,1
ST Jayasuriya,DPMD Jayawardene,1
ST Jayasuriya,IK Pathan,1
Z Khan,WA Mota,1
VS Malik,SR Tendulkar,1
YA Abdulla,DJ Bravo,1
VS Malik,DJ Bravo,1
DL Vettori,AA Bilakhia,1
TM Dilshan,DR Smith,1
DP Nannes,RP Singh,1
A Nehra,PP Ojha,1
AD Mascarenhas,ML Hayden,1
SK Warne,JDP Oram,1
MM Patel,JDP Oram,1
JDP Oram,SK Warne,1
BJ Hodge,GR Napier,1
AM Nayar,BB McCullum,1
RE van der Merwe,K Goel,1
A Kumble,K Goel,1
KP Appanna,SM Katich,1
KP Appanna,DPMD Jayawardene,1
YK Pathan,AA Bilakhia,1
SM Harwood,RG Sharma,1
AS Raut,TL Suman,1
Y Venugopal Rao,LA Carseldine,1
VR Aaron,SV Samson,1
KC Cariappa,CJ Anderson,1
AR Patel,PJ Cummins,1
PJ Cummins,MM Sharma,1
PJ Cummins,KC Cariappa,1
A Mishra,JA Morkel,1
A Nehra,JDP Oram,1
A Nehra,M Muralitharan,1
SB Jakati,R Bhatia,1
JA Morkel,R Bhatia,1
JA Morkel,A Mishra,1
RE van der Merwe,ST Jayasuriya,1
RJ Harris,JA Morkel,1
SB Jakati,RP Singh,1
M Muralitharan,RP Singh,1
SK Raina,Shoaib Ahmed,1
IK Pathan,AS Raut,1
A Singh,K Goel,1
SM Harwood,SM Katich,1
A Singh,SM Katich,1
A Singh,Yuvraj Singh,1
SM Harwood,RR Powar,1
A Singh,RR Powar,1
SK Trivedi,RR Powar,1
A Nehra,WP Saha,1
TL Suman,AM Nayar,1
A Singh,W Jaffer,1
A Singh,RE van der Merwe,1
SK Warne,D du Preez,1
A Kumble,LA Carseldine,1
S Tyagi,SM Katich,1
DP Nannes,PR Shah,1
A Mishra,PR Shah,1
A Nehra,RR Raje,1
R Bhatia,DS Kulkarni,1
HH Pandya,Ishan Kishan,1
DR Smith,RG Sharma,1
Shoaib Ahmed,Yuvraj Singh,1
TL Suman,B Lee,1
PP Ojha,PP Chawla,1
SB Jakati,SA Asnodkar,1
SB Jakati,SM Harwood,1
SM Harwood,SK Raina,1
RA Jadeja,JDP Oram,1
DS Kulkarni,LRPL Taylor,1
Harbhajan Singh,RE van der Merwe,1
Harbhajan Singh,R Vinay Kumar,1
DJ Bravo,R Vinay Kumar,1
Harbhajan Singh,A Kumble,1
SL Malinga,A Kumble,1
TM Dilshan,Yashpal Singh,1
A Mishra,Yashpal Singh,1
A Mishra,AB Agarkar,1
TM Dilshan,AB Agarkar,1
DP Nannes,M Kartik,1
RG Sharma,SA Asnodkar,1
RG Sharma,AS Raut,1
RG Sharma,M Morkel,1
RG Sharma,SK Trivedi,1
RP Singh,SK Trivedi,1
RP Singh,MM Patel,1
JH Kallis,AN Ghosh,1
DS Kulkarni,IK Pathan,1
RR Raje,KC Sangakkara,1
Harbhajan Singh,LA Pomersbach,1
AM Rahane,K Goel,1
JP Duminy,B Lee,1
ST Jayasuriya,B Lee,1
SL Malinga,S Sreesanth,1
B Lee,AM Rahane,1
DP Nannes,DB Ravi Teja,1
RE van der Merwe,S Badrinath,1
B Akhil,JDP Oram,1
B Akhil,S Badrinath,1
R Vinay Kumar,L Balaji,1
R Vinay Kumar,SB Jakati,1
M Muralitharan,RE van der Merwe,1
JDP Oram,B Akhil,1
JP Duminy,GC Smith,1
Harbhajan Singh,GC Smith,1
C Nanda,YK Pathan,1
C Nanda,RA Jadeja,1
DS Kulkarni,SD Chitnis,1
ST Jayasuriya,NV Ojha,1
SK Warne,AM Rahane,1
J Botha,DS Kulkarni,1
SR Watson,RA Tripathi,1
S Aravind,DT Christian,1
BA Stokes,V Kohli,1
BA Stokes,KM Jadhav,1
SN Thakur,KM Jadhav,1
SN Thakur,STR Binny,1
SN Thakur,AF Milne,1
JD Unadkat,S Badree,1
BA Stokes,S Aravind,1
BA Stokes,YS Chahal,1
B Lee,R Bhatia,1
B Lee,PJ Sangwan,1
IK Pathan,A Nehra,1
MF Maharoof,S Sohal,1
TM Dilshan,Yuvraj Singh,1
JA Morkel,Harbhajan Singh,1
RJ Harris,DJ Hussey,1
A Symonds,SM Katich,1
A Symonds,LA Pomersbach,1
RG Sharma,WA Mota,1
WA Mota,DB Ravi Teja,1
A Singh,KD Karthik,1
AM Salvi,NV Ojha,1
AM Salvi,YK Pathan,1
A Mishra,SK Trivedi,1
A Nehra,MM Patel,1
Anureet Singh,GJ Bailey,1
A Kumble,AB McDonald,1
RE van der Merwe,DL Vettori,1
Y Nagar,R Dravid,1
BJ Hodge,RJ Quiney,1
AB Agarkar,SK Warne,1
SS Sarkar,RA Jadeja,1
AB Agarkar,A Singh,1
AB Agarkar,MM Patel,1
A Singh,BB McCullum,1
J Botha,SS Shaikh,1
RR Powar,JDP Oram,1
WA Mota,SK Raina,1
WA Mota,MS Gony,1
B Lee,R Ashwin,1
B Lee,JDP Oram,1
B Lee,L Balaji,1
IK Pathan,L Balaji,1
IK Pathan,T Thushara,1
IK Pathan,M Muralitharan,1
T Thushara,S Sohal,1
T Thushara,SM Katich,1
MS Gony,LA Pomersbach,1
T Thushara,Yuvraj Singh,1
R Ashwin,B Lee,1
SK Raina,PP Chawla,1
JP Duminy,R Bhatia,1
NM Coulter-Nile,SW Billings,1
NM Coulter-Nile,RR Pant,1
Kuldeep Yadav,AD Mathews,1
CR Woakes,PJ Cummins,1
Z Khan,C de Grandhomme,1
PJ Cummins,CR Woakes,1
A Mishra,SP Narine,1
RE van der Merwe,AC Gilchrist,1
B Akhil,TL Suman,1
V Sehwag,AA Bilakhia,1
A Symonds,LRPL Taylor,1
A Symonds,MV Boucher,1
Harmeet Singh,P Kumar,1
PP Ojha,P Kumar,1
BJ Hodge,A Symonds,1
CK Langeveldt,A Symonds,1
CK Langeveldt,RG Sharma,1
I Sharma,Anirudh Singh,1
AD Mathews,Anirudh Singh,1
CK Langeveldt,Jaskaran Singh,1
SW Tait,ST Jayasuriya,1
Kamran Khan,SR Tendulkar,1
A Uniyal,AT Rayudu,1
A Uniyal,R Sathish,1
A Uniyal,R McLaren,1
SW Tait,Harbhajan Singh,1
SL Malinga,AA Jhunjhunwala,1
SL Malinga,SK Warne,1
VY Mahesh,RR Powar,1
MF Maharoof,S Sreesanth,1
DP Nannes,PP Chawla,1
AD Mathews,RE van der Merwe,1
V Kohli,OA Shah,1
S Tyagi,VVS Laxman,1
R Ashwin,VVS Laxman,1
JM Kemp,A Symonds,1
L Balaji,TL Suman,1
JM Kemp,RG Sharma,1
WPUJC Vaas,ML Hayden,1
RG Sharma,JM Kemp,1
RG Sharma,L Balaji,1
RP Singh,M Muralitharan,1
RP Singh,S Tyagi,1
MF Maharoof,P Dogra,1
DP Nannes,AD Mascarenhas,1
S Ladda,A Uniyal,1
SW Tait,AB de Villiers,1
A Uniyal,AB de Villiers,1
A Uniyal,M Manhas,1
KC Cariappa,DJ Hooda,1
Mohammad Nabi,DA Miller,1
Rashid Khan,WP Saha,1
Rashid Khan,MM Sharma,1
S Kaul,KC Cariappa,1
YA Abdulla,MK Pandey,1
SE Bond,ML Hayden,1
L Balaji,OA Shah,1
JM Kemp,AD Mathews,1
JM Kemp,RS Gavaskar,1
R Ashwin,RS Gavaskar,1
JM Kemp,SE Bond,1
S Ladda,AP Tare,1
MF Maharoof,AT Rayudu,1
MF Maharoof,KA Pollard,1
DJ Bravo,MF Maharoof,1
KA Pollard,MF Maharoof,1
ST Jayasuriya,A Mishra,1
KA Pollard,DP Nannes,1
P Kumar,SK Warne,1
TM Dilshan,JM Kemp,1
DP Nannes,JM Kemp,1
Yuvraj Singh,WPUJC Vaas,1
A Symonds,AB Barath,1
PP Ojha,AB Barath,1
RG Sharma,PP Chawla,1
M Kartik,NV Ojha,1
I Sharma,MM Patel,1
MM Patel,WP Saha,1
DW Steyn,ST Jayasuriya,1
P Kumar,R Sathish,1
Y Nagar,HH Gibbs,1
MC Henriques,A Symonds,1
RG Sharma,DA Warner,1
A Symonds,Y Nagar,1
A Symonds,UT Yadav,1
WPUJC Vaas,DP Nannes,1
J Theron,MS Gony,1
DS Kulkarni,TM Head,1
AJ Tye,TM Head,1
P Negi,DR Smith,1
P Negi,RA Jadeja,1
J Theron,AC Voges,1
IK Pathan,P Dogra,1
YK Pathan,J Theron,1
SW Tait,J Theron,1
M Muralitharan,R Sathish,1
L Balaji,R McLaren,1
S Narwal,AC Gilchrist,1
AA Jhunjhunwala,VVS Laxman,1
SW Tait,VVS Laxman,1
SW Tait,A Symonds,1
SW Tait,Y Venugopal Rao,1
AC Voges,Y Venugopal Rao,1
SW Tait,WPUJC Vaas,1
SW Tait,RP Singh,1
R Sharma,NV Ojha,1
SE Bond,B Lee,1
R Vinay Kumar,AB McDonald,1
AB McDonald,MV Boucher,1
PJ Sangwan,R Vinay Kumar,1
DP Nannes,R Vinay Kumar,1
AB McDonald,DW Steyn,1
AB McDonald,A Kumble,1
T Thushara,FY Fazal,1
JA Morkel,P Dogra,1
T Thushara,SW Tait,1
SW Tait,S Badrinath,1
SK Trivedi,KB Arun Karthik,1
Jaskaran Singh,DJ Bravo,1
PP Ojha,R Sathish,1
Jaskaran Singh,KA Pollard,1
KAJ Roach,R McLaren,1
RG Sharma,R McLaren,1
R McLaren,Y Venugopal Rao,1
Harbhajan Singh,Jaskaran Singh,1
Z Khan,KAJ Roach,1
Z Khan,RP Singh,1
AB McDonald,SC Ganguly,1
PD Collingwood,WP Saha,1
AB McDonald,M Kartik,1
SP Narine,JJ Roy,1
CR Woakes,BB McCullum,1
B Kumar,SW Billings,1
Mohammed Siraj,AD Mathews,1
R McLaren,RS Bopara,1
SL Malinga,VS Malik,1
R McLaren,SJ Srivastava,1
SJ Srivastava,S Dhawan,1
K Goel,SS Tiwary,1
T Thushara,MK Pandey,1
S Narwal,V Sehwag,1
AB McDonald,AA Jhunjhunwala,1
MF Maharoof,AC Voges,1
AB McDonald,P Dogra,1
PD Collingwood,SW Tait,1
V Sehwag,SW Tait,1
V Sehwag,SK Trivedi,1
Jaskaran Singh,SC Ganguly,1
KAJ Roach,MK Tiwary,1
Jaskaran Singh,AB Agarkar,1
SE Bond,AC Gilchrist,1
CH Gayle,A Symonds,1
P Kumar,B Lee,1
DE Bollinger,MJ Lumb,1
DE Bollinger,FY Fazal,1
DE Bollinger,AA Jhunjhunwala,1
S Tyagi,AS Raut,1
KP Pietersen,DA Warner,1
KP Appanna,DL Vettori,1
A Kumble,DL Vettori,1
A Mishra,CL White,1
MF Maharoof,V Kohli,1
A Mishra,KP Appanna,1
A Mishra,A Kumble,1
RJ Harris,YK Pathan,1
YK Pathan,VVS Laxman,1
SK Warne,AA Bilakhia,1
SR Watson,AA Bilakhia,1
SK Warne,RJ Harris,1
M Morkel,RP Singh,1
SK Trivedi,RP Singh,1
JJ Bumrah,MP Stoinis,1
MM Sharma,HH Pandya,1
SK Raina,DJ Bravo,1
SB Jakati,R McLaren,1
DE Bollinger,AN Ahmed,1
AP Dole,KC Sangakkara,1
FY Fazal,RS Bopara,1
DL Vettori,CH Gayle,1
AB Dinda,PD Collingwood,1
BAW Mendis,PD Collingwood,1
AB Agarkar,KM Jadhav,1
Iqbal Abdulla,DL Vettori,1
A Symonds,MEK Hussey,1
DW Steyn,AB Agarkar,1
R Vinay Kumar,BAW Mendis,1
PP Chawla,PD Collingwood,1
RR Powar,PD Collingwood,1
Yuvraj Singh,DL Vettori,1
J Theron,A Nehra,1
V Sehwag,KC Sangakkara,1
PD Collingwood,AB Barath,1
DL Vettori,AB Barath,1
AA Jhunjhunwala,SR Tendulkar,1
SR Watson,R Sathish,1
Z Khan,FY Fazal,1
KA Pollard,AS Raut,1
DS Kulkarni,AS Raut,1
JH Kallis,B Sumanth,1
RP Singh,LRPL Taylor,1
Harmeet Singh,A Kumble,1
RJ Harris,A Kumble,1
RJ Harris,KP Appanna,1
Basil Thampi,G Gambhir,1
Basil Thampi,SA Yadav,1
Basil Thampi,YK Pathan,1
Basil Thampi,Shakib Al Hasan,1
NM Coulter-Nile,Ishan Kishan,1
CR Woakes,Ishan Kishan,1
Kuldeep Yadav,Ishan Kishan,1
SP Narine,Ishan Kishan,1
PD Collingwood,SR Tendulkar,1
S Ladda,JP Duminy,1
AB McDonald,JP Duminy,1
AG Murtaza,PD Collingwood,1
KA Pollard,PD Collingwood,1
Harbhajan Singh,PJ Sangwan,1
DE Bollinger,MK Tiwary,1
SB Jakati,WP Saha,1
M Muralitharan,Iqbal Abdulla,1
Pankaj Singh,NV Ojha,1
Pankaj Singh,SR Watson,1
R Vinay Kumar,AA Jhunjhunwala,1
A Mishra,L Balaji,1
A Mishra,DE Bollinger,1
J Theron,A Symonds,1
Yuvraj Singh,B Sumanth,1
IK Pathan,B Sumanth,1
R McLaren,R Dravid,1
KA Pollard,Pankaj Singh,1
R McLaren,A Kumble,1
LR Shukla,SR Watson,1
JD Unadkat,AC Voges,1
LR Shukla,AC Voges,1
AB Dinda,AS Raut,1
JD Unadkat,AS Raut,1
M Kartik,P Dogra,1
M Kartik,SK Warne,1
AJ Finch,SC Ganguly,1
FY Fazal,CA Pujara,1
TM Dilshan,MR Marsh,1
DP Nannes,MR Marsh,1
UT Yadav,B Sumanth,1
DP Nannes,B Sumanth,1
SE Bond,AP Tare,1
JD Unadkat,R Sathish,1
MK Tiwary,R Sathish,1
SE Bond,AT Rayudu,1
R Sathish,SC Ganguly,1
JP Duminy,DJ Hussey,1
Z Khan,N Rana,1
PJ Cummins,Harbhajan Singh,1
K Rabada,Harbhajan Singh,1
CH Morris,MJ McClenaghan,1
MG Johnson,K Rabada,1
HH Pandya,PJ Cummins,1
Harbhajan Singh,P Kumar,1
CRD Fernando,A Kumble,1
A Symonds,M Vijay,1
Harmeet Singh,JA Morkel,1
A Symonds,S Anirudha,1
RP Singh,R Ashwin,1
DE Bollinger,HH Gibbs,1
SB Jakati,MD Mishra,1
R Ashwin,RJ Harris,1
DE Bollinger,RJ Harris,1
DE Bollinger,B Sumanth,1
M Muralitharan,PP Ojha,1
B Akhil,Anirudh Singh,1
ND Doshi,RJ Harris,1
DE Bollinger,SL Malinga,1
S Randiv,YK Pathan,1
TG Southee,MK Tiwary,1
SK Warne,B Chipli,1
SK Trivedi,IR Jaggi,1
A Singh,DB Ravi Teja,1
SK Trivedi,DW Steyn,1
A Singh,I Sharma,1
I Sharma,AG Paunikar,1
DP Nannes,VVS Laxman,1
V Kohli,BB McCullum,1
RV Gomez,SS Tiwary,1
MM Patel,AJ Finch,1
Harbhajan Singh,NV Ojha,1
AG Murtaza,RE van der Merwe,1
SL Malinga,UT Yadav,1
AB Dinda,DJ Jacobs,1
AC Thomas,AC Gilchrist,1
AC Thomas,SE Marsh,1
JD Ryder,PP Chawla,1
AC Thomas,P Kumar,1
WD Parnell,NJ Rimmington,1
AM Nayar,JD Ryder,1
R McLaren,Yuvraj Singh,1
NJ Rimmington,RV Uthappa,1
DB Ravi Teja,JH Kallis,1
L Balaji,IR Jaggi,1
L Balaji,B Chipli,1
JD Unadkat,I Sharma,1
SN Thakur,S Dhawan,1
DT Christian,S Dhawan,1
BA Bhatt,MS Dhoni,1
SK Raina,PC Valthaty,1
AC Thomas,BJ Hodge,1
JD Ryder,R Vinay Kumar,1
AC Thomas,S Sreesanth,1
BJ Hodge,M Manhas,1
BJ Hodge,MD Mishra,1
RA Jadeja,WD Parnell,1
R Vinay Kumar,R Sharma,1
JJ van der Wath,KC Sangakkara,1
MS Gony,R Ninan,1
MS Gony,DL Vettori,1
DW Steyn,DL Vettori,1
DT Christian,DL Vettori,1
YK Pathan,SR Watson,1
YK Pathan,LRPL Taylor,1
Shakib Al Hasan,J Botha,1
R Vinay Kumar,DJ Jacobs,1
JJ van der Wath,JA Morkel,1
SK Raina,AB de Villiers,1
S Randiv,CA Pujara,1
PP Chawla,KC Sangakkara,1
P Kumar,B Chipli,1
RJ Harris,DW Steyn,1
AB Dinda,JD Ryder,1
JR Hopes,JD Ryder,1
S Nadeem,MD Mishra,1
NB Singh,HM Amla,1
Basil Thampi,MP Stoinis,1
DR Smith,MM Sharma,1
DR Smith,WP Saha,1
MP Stoinis,RA Jadeja,1
Iqbal Abdulla,FY Fazal,1
Shakib Al Hasan,SK Warne,1
B Lee,SK Warne,1
RV Gomez,MS Dhoni,1
JR Hopes,B Chipli,1
DT Christian,JR Hopes,1
SL Malinga,TD Paine,1
AG Murtaza,TD Paine,1
AG Murtaza,M Kartik,1
AG Murtaza,RV Uthappa,1
AG Murtaza,R Sharma,1
Shakib Al Hasan,RR Powar,1
M Muralitharan,B Lee,1
AL Menaria,KD Karthik,1
AS Raut,KD Karthik,1
RJ Harris,SA Asnodkar,1
P Kumar,LRPL Taylor,1
AM Nayar,AL Menaria,1
BA Bhatt,AS Raut,1
S Randiv,AT Rayudu,1
Harbhajan Singh,S Anirudha,1
SL Malinga,DE Bollinger,1
S Aravind,JH Kallis,1
MK Tiwary,TM Dilshan,1
VR Aaron,AC Gilchrist,1
JR Hopes,KD Karthik,1
AB Agarkar,RJ Harris,1
AN Ahmed,CL White,1
Harbhajan Singh,I Sharma,1
TS Mills,SP Narine,1
S Badree,SA Yadav,1
TS Mills,SA Yadav,1
TS Mills,NM Coulter-Nile,1
P Negi,NM Coulter-Nile,1
P Negi,Kuldeep Yadav,1
C de Grandhomme,TS Mills,1
CR Woakes,TS Mills,1
C de Grandhomme,S Aravind,1
SK Trivedi,NLTC Perera,1
A Singh,KM Jadhav,1
